Bat1,Runs,BF,SR,4s,6s,Opposition,Ground,Start Date,Type
79,79,48,164.58,7,3,v Daredevils,Bengaluru,17 Apr 2016,Twenty20
33,33,30,110.00,3,0,v MI,Wankhede,20 Apr 2016,Twenty20
80,80,63,126.98,7,2,v Supergiants,Pune,22 Apr 2016,Twenty20
100*,100,63,158.73,11,1,v Guj Lions,Rajkot,24 Apr 2016,Twenty20
14,14,17,82.35,1,0,v SRH,Hyderabad,30 Apr 2016,Twenty20
52,52,44,118.18,4,0,v KKR,Bengaluru,2 May 2016,Twenty20
108*,108,58,186.20,8,7,v Supergiants,Bengaluru,7 May 2016,Twenty20
20,20,21,95.23,2,0,v Kings XI,Mohali,9 May 2016,Twenty20
7,7,7,100.00,0,1,v MI,Bengaluru,11 May 2016,Twenty20
109,109,55,198.18,5,8,v Guj Lions,Bengaluru,14 May 2016,Twenty20
75*,75,51,147.05,5,3,v KKR,Eden Gardens,16 May 2016,Twenty20
113,113,50,226.00,12,8,v Kings XI,Bengaluru,18 May 2016,Twenty20
54*,54,45,120.00,6,0,v Daredevils,Raipur,22 May 2016,Twenty20
0,0,2,0.00,0,0,v Guj Lions,Bengaluru,24 May 2016,Twenty20
54,54,35,154.28,5,2,v SRH,Bengaluru,29 May 2016,Twenty20
62,62,47,131.91,5,2,v MI,Bengaluru,14 Apr 2017,Twenty20
28,28,19,147.36,3,1,v Supergiant,Bengaluru,16 Apr 2017,Twenty20
64,64,50,128.00,7,1,v Guj Lions,Rajkot,18 Apr 2017,Twenty20
0,0,1,0.00,0,0,v KKR,Eden Gardens,23 Apr 2017,Twenty20
10,10,13,76.92,0,1,v Guj Lions,Bengaluru,27 Apr 2017,Twenty20
55,55,48,114.58,4,1,v Supergiant,Pune,29 Apr 2017,Twenty20
20,20,14,142.85,0,2,v MI,Wankhede,1 May 2017,Twenty20
6,6,6,100.00,1,0,v Kings XI,Bengaluru,5 May 2017,Twenty20
5,5,9,55.55,0,0,v KKR,Bengaluru,7 May 2017,Twenty20
58,58,45,128.88,3,3,v Daredevils,Delhi,14 May 2017,Twenty20
31,31,33,93.93,1,1,v KKR,Eden Gardens,8 Apr 2018,Twenty20
21,21,16,131.25,4,0,v Kings XI,Bengaluru,13 Apr 2018,Twenty20
57,57,30,190.00,7,2,v RR,Bengaluru,15 Apr 2018,Twenty20
92*,92,62,148.38,7,4,v MI,Wankhede,17 Apr 2018,Twenty20
30,30,26,115.38,2,1,v Daredevils,Bengaluru,21 Apr 2018,Twenty20
18,18,15,120.00,3,0,v CSK,Bengaluru,25 Apr 2018,Twenty20
68*,68,44,154.54,5,3,v KKR,Bengaluru,29 Apr 2018,Twenty20
32,32,26,123.07,2,1,v MI,Bengaluru,1 May 2018,Twenty20
8,8,11,72.72,1,0,v CSK,Pune,5 May 2018,Twenty20
39,39,30,130.00,5,1,v SRH,Hyderabad,7 May 2018,Twenty20
70,70,40,175.00,7,3,v Daredevils,Delhi,12 May 2018,Twenty20
48*,48,28,171.42,6,2,v Kings XI,Indore,14 May 2018,Twenty20
12,12,11,109.09,2,0,v SRH,Bengaluru,17 May 2018,Twenty20
4,4,9,44.44,0,0,v RR,Jaipur,19 May 2018,Twenty20
6,6,12,50.00,0,0,v CSK,Chennai,23 Mar 2019,Twenty20
46,46,32,143.75,6,0,v MI,Bengaluru,28 Mar 2019,Twenty20
3,3,10,30.00,0,0,v SRH,Hyderabad,31 Mar 2019,Twenty20
23,23,25,92.00,3,0,v RR,Jaipur,2 Apr 2019,Twenty20
84,84,49,171.42,9,2,v KKR,Bengaluru,5 Apr 2019,Twenty20
41,41,33,124.24,1,2,v DC,Bengaluru,7 Apr 2019,Twenty20
67,67,53,126.41,8,0,v Kings XI,Mohali,13 Apr 2019,Twenty20
8,8,9,88.88,1,0,v MI,Wankhede,15 Apr 2019,Twenty20
100,100,58,172.41,9,4,v KKR,Eden Gardens,19 Apr 2019,Twenty20
9,9,8,112.50,2,0,v CSK,Bengaluru,21 Apr 2019,Twenty20
13,13,8,162.50,2,0,v Kings XI,Bengaluru,24 Apr 2019,Twenty20
23,23,17,135.29,2,1,v DC,Delhi,28 Apr 2019,Twenty20
25,25,7,357.14,1,3,v RR,Bengaluru,30 Apr 2019,Twenty20
16,16,7,228.57,2,1,v SRH,Bengaluru,4 May 2019,Twenty20
14,14,13,107.69,0,0,v SRH,Dubai (DICS),21 Sep 2020,Twenty20
1,1,5,20.00,0,0,v Kings XI,Dubai (DICS),24 Sep 2020,Twenty20
3,3,11,27.27,0,0,v MI,Dubai (DICS),28 Sep 2020,Twenty20
72*,72,53,135.84,7,2,v RR,Abu Dhabi,3 Oct 2020,Twenty20
43,43,39,110.25,2,1,v DC,Dubai (DICS),5 Oct 2020,Twenty20
90*,90,52,173.07,4,4,v CSK,Dubai (DICS),10 Oct 2020,Twenty20
33*,33,28,117.85,1,0,v KKR,Sharjah,12 Oct 2020,Twenty20
48,48,39,123.07,3,0,v Kings XI,Sharjah,15 Oct 2020,Twenty20
43,43,32,134.37,1,2,v RR,Dubai (DICS),17 Oct 2020,Twenty20
18*,18,17,105.88,2,0,v KKR,Abu Dhabi,21 Oct 2020,Twenty20
50,50,43,116.27,1,1,v CSK,Dubai (DICS),25 Oct 2020,Twenty20
9,9,14,64.28,0,0,v MI,Abu Dhabi,28 Oct 2020,Twenty20
7,7,7,100.00,0,0,v SRH,Sharjah,31 Oct 2020,Twenty20
29,29,24,120.83,2,1,v DC,Abu Dhabi,2 Nov 2020,Twenty20
6,6,7,85.71,0,0,v SRH,Abu Dhabi,6 Nov 2020,Twenty20
33,33,29,113.79,4,0,v MI,Chennai,9 Apr 2021,Twenty20
33,33,29,113.79,4,0,v SRH,Chennai,14 Apr 2021,Twenty20
5,5,6,83.33,1,0,v KKR,Chennai,18 Apr 2021,Twenty20
72*,72,47,153.19,6,3,v RR,Wankhede,22 Apr 2021,Twenty20
8,8,7,114.28,1,0,v CSK,Wankhede,25 Apr 2021,Twenty20
12,12,11,109.09,2,0,v DC,Ahmedabad,27 Apr 2021,Twenty20
35,35,34,102.94,3,1,v Punjab Kings,Ahmedabad,30 Apr 2021,Twenty20
5,5,4,125.00,1,0,v KKR,Abu Dhabi,20 Sep 2021,Twenty20
53,53,41,129.26,6,1,v CSK,Sharjah,24 Sep 2021,Twenty20
51,51,42,121.42,3,3,v MI,Dubai (DICS),26 Sep 2021,Twenty20
25,25,20,125.00,4,0,v RR,Dubai (DICS),29 Sep 2021,Twenty20
25,25,24,104.16,2,1,v Punjab Kings,Sharjah,3 Oct 2021,Twenty20
5,5,4,125.00,1,0,v SRH,Abu Dhabi,6 Oct 2021,Twenty20
4,4,8,50.00,0,0,v DC,Dubai (DICS),8 Oct 2021,Twenty20
39,39,33,118.18,5,0,v KKR,Sharjah,11 Oct 2021,Twenty20
41*,41,29,141.37,1,2,v Punjab Kings,DY Patil,27 Mar 2022,Twenty20
12,12,7,171.42,2,0,v KKR,DY Patil,30 Mar 2022,Twenty20
5,5,6,83.33,0,0,v RR,Wankhede,5 Apr 2022,Twenty20
48,48,36,133.33,5,0,v MI,Pune,9 Apr 2022,Twenty20
1,1,3,33.33,0,0,v CSK,DY Patil,12 Apr 2022,Twenty20
12,12,14,85.71,1,0,v DC,Wankhede,16 Apr 2022,Twenty20
0,0,1,0.00,0,0,v LSG,DY Patil,19 Apr 2022,Twenty20
0,0,1,0.00,0,0,v SRH,Brabourne,23 Apr 2022,Twenty20
9,9,10,90.00,2,0,v RR,Pune,26 Apr 2022,Twenty20
58,58,53,109.43,6,1,v GT,Brabourne,30 Apr 2022,Twenty20
30,30,33,90.90,3,1,v CSK,Pune,4 May 2022,Twenty20
0,0,1,0.00,0,0,v SRH,Wankhede,8 May 2022,Twenty20
20,20,14,142.85,2,1,v Punjab Kings,Brabourne,13 May 2022,Twenty20
73,73,54,135.18,8,2,v GT,Wankhede,19 May 2022,Twenty20
25,25,24,104.16,2,0,v LSG,Eden Gardens,25 May 2022,Twenty20
7,7,8,87.50,0,1,v RR,Ahmedabad,27 May 2022,Twenty20
82*,82,49,167.34,6,5,v MI,Bengaluru,2 Apr 2023,Twenty20
21,21,18,116.66,3,0,v KKR,Eden Gardens,6 Apr 2023,Twenty20
61,61,44,138.63,4,4,v LSG,Bengaluru,10 Apr 2023,Twenty20
50,50,34,147.05,6,1,v DC,Bengaluru,15 Apr 2023,Twenty20
6,6,4,150.00,1,0,v CSK,Bengaluru,17 Apr 2023,Twenty20
59,59,47,125.53,5,1,v Punjab Kings,Mohali,20 Apr 2023,Twenty20
0,0,1,0.00,0,0,v RR,Bengaluru,23 Apr 2023,Twenty20
54,54,37,145.94,6,0,v KKR,Bengaluru,26 Apr 2023,Twenty20
31,31,30,103.33,3,0,v LSG,Lucknow,1 May 2023,Twenty20
55,55,46,119.56,5,0,v DC,Delhi,6 May 2023,Twenty20
1,1,4,25.00,0,0,v MI,Wankhede,9 May 2023,Twenty20
18,18,19,94.73,1,0,v RR,Jaipur,14 May 2023,Twenty20
100,100,63,158.73,12,4,v SRH,Hyderabad,18 May 2023,Twenty20
101*,101,61,165.57,13,1,v GT,Bengaluru,21 May 2023,Twenty20
21,21,20,105.00,0,1,v CSK,Chennai,22 Mar 2024,Twenty20
77,77,49,157.14,11,2,v Punjab Kings,Bengaluru,25 Mar 2024,Twenty20
83*,83,59,140.67,4,4,v KKR,Bengaluru,29 Mar 2024,Twenty20
22,22,16,137.50,2,1,v LSG,Bengaluru,2 Apr 2024,Twenty20
113*,113,72,156.94,12,4,v RR,Jaipur,6 Apr 2024,Twenty20
3,3,9,33.33,0,0,v MI,Wankhede,11 Apr 2024,Twenty20
42,42,20,210.00,6,2,v SRH,Bengaluru,15 Apr 2024,Twenty20
18,18,7,257.14,1,2,v KKR,Eden Gardens,21 Apr 2024,Twenty20
51,51,43,118.60,4,1,v SRH,Hyderabad,25 Apr 2024,Twenty20
70*,70,44,159.09,6,3,v GT,Ahmedabad,28 Apr 2024,Twenty20
42,42,27,155.55,2,4,v GT,Bengaluru,4 May 2024,Twenty20
92,92,47,195.74,7,6,v Punjab Kings,Dharamsala,9 May 2024,Twenty20
27,27,13,207.69,1,3,v DC,Bengaluru,12 May 2024,Twenty20
47,47,29,162.06,3,4,v CSK,Bengaluru,18 May 2024,Twenty20
33,33,24,137.50,3,1,v RR,Ahmedabad,22 May 2024,Twenty20
59*,59,36,163.88,4,3,v KKR,Eden Gardens,22 Mar 2025,Twenty20
31,31,30,103.33,2,1,v CSK,Chennai,28 Mar 2025,Twenty20
7,7,6,116.66,1,0,v GT,Bengaluru,2 Apr 2025,Twenty20
